4,308
18,313
30,317
56,315
65,308
84,299
116,299
144,315
158,324
179,336
163,289
149,263
116,231
112,205
112,168
112,161
112,133
119,112
130,86
137,51
135,30
135,18
163,18
623,14
640,32
644,44
656,70
668,95
658,93
633,79
609,79
586,74
555,74
534,81
534,81
527,93
520,102
511,126
509,161
516,184
546,196
570,210
588,214
616,214
621,200
626,186
621,163
600,163
595,163
567,161
544,161
537,161
516,168
516,168
495,172
490,184
490,200
495,235
499,256
504,280
511,303
518,345
499,350
471,359
462,366
464,392
471,397
490,408
497,415
504,434
504,460
504,460
506,485
511,506
490,537
462,537
429,537
425,525
413,509
408,474
401,455
401,429
420,425
434,406
434,373
420,364
397,355
387,331
387,317
397,285
406,254
413,238
413,219
415,186
415,172
415,172
406,168
378,156
350,144
317,140
285,142
266,158
266,186
310,200
336,198
364,193
373,170
390,126
390,102
376,79
348,77
327,77
282,79
254,79
242,77
240,77
210,107
182,121
182,147
177,182
172,212
177,235
184,259
189,287
196,320
205,345
217,380
235,397
249,411
259,429
275,462
303,490
317,499
343,523
364,548
392,574
411,579
453,591
485,593
504,584
537,553
546,541
560,530
588,499
598,490
619,471
642,443
651,420
658,394
663,383
668,355
670,329
677,308
682,289
682,266
682,245
679,219
682,191
679,149
677,126
677,287
675,317
668,359
658,394
654,415
654,448
686,450
700,457
719,457
749,467
766,481
784,490
815,509
822,532
845,546
871,551
890,562
918,588
925,598
948,630
971,642
992,658
1009,670
1023,679
1032,689
1062,698
1086,712
1116,728
1132,735
1154,745
1191,752
1200,761
1226,766
1252,775
1280,789
1303,801
1319,812
1333,836
1352,843
1373,857
1399,869
1410,908
1413,929
1410,976
1396,992
1357,1016
1312,1030
1291,1044
1270,1055
953,1055
925,1046
906,1016
866,983
831,967
817,948
803,922
768,894
724,869
712,880
691,899
686,922
682,962
668,1002
642,995
614,988
579,967
548,953
506,922
478,901
441,892
401,869
385,840
334,826
303,803
273,782
233,766
200,740
172,726
140,719
114,707
74,696
49,682
25,672
16,668
7,649
9,626
14,591
14,565
11,532
11,499
9,481
4,450
9,439
9,420
9,401
14,366
4,345
